Words,Types,Sentences,Title
1150,463,53,Ronald_Reagan_1985-05-05
2404,799,136,Ronald_Reagan_1985-11-21
649,309,46,Ronald_Reagan_1986-01-28
3516,1182,174,Ronald_Reagan_1986-02-04
985,441,59,Ronald_Reagan_1986-04-14
2947,987,179,Ronald_Reagan_1986-09-14
2961,895,146,Ronald_Reagan_1986-10-13
1426,573,56,Ronald_Reagan_1986-10-22
3816,1242,204,Ronald_Reagan_1987-01-27
1899,688,106,Ronald_Reagan_1987-03-04
2713,924,133,Ronald_Reagan_1987-06-12
960,456,49,Ronald_Reagan_1987-12-08
2732,832,104,Ronald_Reagan_1987-12-10
4892,1393,217,Ronald_Reagan_1988-01-25
7065,1666,313,Ronald_Reagan_1988-05-31
4531,1298,249,Ronald_Reagan_1988-08-15
4968,1346,192,Ronald_Reagan_1988-09-26
282,136,19,Ronald_Reagan_1988-11-11
7121,1772,296,Ronald_Reagan_1988-12-16
3325,999,200,Ronald_Reagan_1989-01-11
